Code,Longitude,Latitude,Coordonnees
9570,3.8249605,50.815045,"50.815045,3.8249605"
9571,3.8638783508569,50.8088369,"50.8088369,3.86387835086"
9572,3.8157846440419,50.80452055,"50.80452055,3.81578464404"
9600,3.6020465,50.7476192,"50.7476192,3.6020465"
9620,3.8078492,50.8907864,"50.8907864,3.8078492"
9630,3.7327378,50.8776841,"50.8776841,3.7327378"
9636,3.6879894099711,50.8867594,"50.8867594,3.68798940997"
9660,3.762778,50.7979739,"50.7979739,3.762778"
9661,3.799316,50.7849168,"50.7849168,3.799316"
9667,3.6875097,50.8383442,"50.8383442,3.6875097"
9680,3.6489314,50.807217,"50.807217,3.6489314"
9681,3.5954667,50.7965606,"50.7965606,3.5954667"
9688,3.6782376,50.8061799,"50.8061799,3.6782376"
9690,3.5082669,50.7903918,"50.7903918,3.5082669"
9700,3.6322868,50.8678376,"50.8678376,3.6322868"
9750,3.653793,50.9039326,"50.9039326,3.653793"
9770,3.5404462768494,50.9200896,"50.9200896,3.54044627685"
9771,3.5108474,50.8853618,"50.8853618,3.5108474"
9772,3.5605794173077,50.890238600000004,"50.8902386,3.56057941731"
9790,3.5514004,50.8711812,"50.8711812,3.5514004"
9800,3.5413767,51.0175334,"51.0175334,3.5413767"
9810,3.5963218,50.959802,"50.959802,3.5963218"
9820,3.7459119,50.9942924,"50.9942924,3.7459119"
9830,3.6306291238782,51.0134462,"51.0134462,3.63062912388"
9831,3.6111658724762,51.000090899999996,"51.0000909,3.61116587248"
9840,3.6495958,50.9924205,"50.9924205,3.6495958"
9850,3.5715236988666,51.0829292,"51.0829292,3.57152369887"
9860,3.7800022,50.9591122,"50.9591122,3.7800022"
9870,3.4858873,50.9591856,"50.9591856,3.4858873"
9880,3.4596784,51.0497022,"51.0497022,3.4596784"
9881,3.4994525656039,51.0902776,"51.0902776,3.4994525656"
9890,3.6845236,50.9459212,"50.9459212,3.6845236"
9900,3.5665965,51.1844827,"51.1844827,3.5665965"
9910,3.4841052,51.1285879,"51.1285879,3.4841052"
9920,3.6076129,51.0956807,"51.0956807,3.6076129"
9921,3.6412401,51.0876396,"51.0876396,3.6412401"
9930,3.5642436785112,51.1195778,"51.1195778,3.56424367851"
9931,3.5253176,51.150867,"51.150867,3.5253176"
9932,3.5532444,51.1303816,"51.1303816,3.5532444"
9940,3.7078565,51.1087891,"51.1087891,3.7078565"
9950,3.6061712,51.1515304,"51.1515304,3.6061712"
9960,3.7568076657628,51.23004155,"51.23004155,3.75680766576"
9961,3.7059614986083,51.2509311,"51.2509311,3.70596149861"
9968,3.6789952,51.2311917,"51.2311917,3.6789952"
